stage,lon,lat,val
pearson_corr_period2,76.86371263407236,43.19721097294377,0.008961089902480669
pearson_corr_period2,76.85957910267106,43.19019889065159,-0.07629512859847745
pearson_corr_period2,77.04921452176887,43.11090974029493,-0.022307166825581873
pearson_corr_period2,77.01525017824018,43.22932474918009,-0.011403696601558556
pearson_corr_period2,77.00238972141311,43.22744860082231,-0.05777872053850837
pearson_corr_period2,77.03118621335582,43.197351203460336,-0.250529398307158
pearson_corr_period2,76.98964386619213,43.06848291118453,-0.0237814999360952
pearson_corr_period2,76.83605609351804,43.097091152527284,0.17301047474358267
pearson_corr_period2,76.92623268120319,43.15607073650689,-0.14922203225390837
pearson_corr_period2,76.87796119934178,43.074913482680444,0.03756019224463388
pearson_corr_period2,76.88283703935751,43.13326503106092,-0.08338449126677878
pearson_corr_period2,77.02481609682219,43.14228085382221,-0.08952106377473792
pearson_corr_period2,76.95527113174667,43.171564339269395,-0.21434087267904517
pearson_corr_period2,76.93764048255146,43.11610675031524,-0.023250220072515072
pearson_corr_period2,76.90905553415952,43.211525003423695,0.17513365913957804
pearson_corr_period2,76.8822014546122,43.14263993548154,-0.5301412721361455
pearson_corr_period2,77.04488460505696,43.150502301912006,-0.018546796017517988
pearson_corr_period2,77.02025680445986,43.19359431938797,0.03796942644416024
pearson_corr_period2,77.05740194295473,43.230843299740336,0.11012942339694412
pearson_corr_period2,76.92163144071979,43.20521055502571,-0.009740401845607887
pearson_corr_period2,77.03956317395773,43.153883591087286,-0.02237966171548768
pearson_corr_period2,76.99575232059006,43.23807694295754,0.020836312069819656
pearson_corr_period2,76.86485784874857,43.14187006477405,-0.058856860258950656
pearson_corr_period2,77.0051291140487,43.19961145762738,-0.003737938537067729
pearson_corr_period2,76.92637840919505,43.207750636733415,-0.01061169936695457
pearson_corr_period2,76.98957689608119,43.18072589822917,-0.04400721057414331
pearson_corr_period2,76.8493785778717,43.0741590037961,-0.05625565042557896
pearson_corr_period2,77.01919480684967,43.20383223163151,-0.08413530545937234
pearson_corr_period2,77.00255911030557,43.17952580529435,0.054627393513741226
pearson_corr_period2,76.8633376743588,43.09145320385276,0.020992051662404136
pearson_corr_period2,76.94146547823253,43.10996395332947,-0.05619848030185102
pearson_corr_period2,76.88025726947463,43.124809116147205,-0.10198078214576232
pearson_corr_period2,76.89303397796553,43.101137725959944,0.0537300738291479
pearson_corr_period2,76.92550702422379,43.13394089444057,-0.3401737376410505
pearson_corr_period2,77.06648439812933,43.10217697834043,0.010906659977790707
pearson_corr_period2,76.94999021722101,43.15933016818204,0.03271068122448602
pearson_corr_period2,77.01152920494991,43.116973840803915,-0.04565507566486319
pearson_corr_period2,77.02746516841817,43.22772633946345,-0.038452157037628165
pearson_corr_period2,77.0051955718862,43.09250763984437,-2.786097384357368E-4
pearson_corr_period2,77.04782045715065,43.136109905899986,-0.011754918508549341
pearson_corr_period2,76.84792564875308,43.121597587935064,-0.019799742380580895
pearson_corr_period2,77.0011799220468,43.20961559471667,0.030514622576075814
pearson_corr_period2,76.83011423569182,43.23599834914756,-0.2379077537373357
